# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
124           	(-3.883211e+01 1.645314e+03 3.912373e+03)	(-2.321566e+01 1.645423e+03 3.912864e+03)	(-1.561645e+01 -1.095145e-01 -4.909210e-01)
125           	(-3.880596e+01 1.645184e+03 3.912542e+03)	(-2.319921e+01 1.645292e+03 3.913036e+03)	(-1.560675e+01 -1.077963e-01 -4.940812e-01)
126           	(-3.881290e+01 1.645048e+03 3.912439e+03)	(-2.321589e+01 1.645154e+03 3.912937e+03)	(-1.559700e+01 -1.060093e-01 -4.972071e-01)
127           	(-3.881618e+01 1.644729e+03 3.912127e+03)	(-2.322926e+01 1.644833e+03 3.912627e+03)	(-1.558692e+01 -1.041710e-01 -5.002673e-01)
128           	(-3.875418e+01 1.644312e+03 3.911731e+03)	(-2.317761e+01 1.644415e+03 3.912234e+03)	(-1.557657e+01 -1.023491e-01 -5.033197e-01)
129           	(-3.852475e+01 1.643236e+03 3.910335e+03)	(-2.295803e+01 1.643337e+03 3.910841e+03)	(-1.556672e+01 -1.005744e-01 -5.062284e-01)
130           	(-3.855282e+01 1.643580e+03 3.910834e+03)	(-2.299646e+01 1.643679e+03 3.911343e+03)	(-1.555636e+01 -9.875007e-02 -5.093954e-01)
131           	(-3.843928e+01 1.643132e+03 3.910370e+03)	(-2.289332e+01 1.643229e+03 3.910883e+03)	(-1.554596e+01 -9.685903e-02 -5.125816e-01)
132           	(-3.820897e+01 1.642043e+03 3.908340e+03)	(-2.267244e+01 1.642138e+03 3.908856e+03)	(-1.553653e+01 -9.492576e-02 -5.156615e-01)
133           	(-3.806031e+01 1.641159e+03 3.908036e+03)	(-2.253385e+01 1.641252e+03 3.908555e+03)	(-1.552646e+01 -9.302301e-02 -5.184632e-01)
134           	(-3.800509e+01 1.640965e+03 3.907715e+03)	(-2.248872e+01 1.641056e+03 3.908236e+03)	(-1.551636e+01 -9.110028e-02 -5.212282e-01)
135           	(-3.809899e+01 1.641286e+03 3.908698e+03)	(-2.259285e+01 1.641375e+03 3.909222e+03)	(-1.550614e+01 -8.924147e-02 -5.237037e-01)
136           	(-3.804780e+01 1.641030e+03 3.908279e+03)	(-2.255199e+01 1.641117e+03 3.908805e+03)	(-1.549581e+01 -8.736893e-02 -5.262047e-01)
137           	(-3.800923e+01 1.640891e+03 3.908312e+03)	(-2.252407e+01 1.640977e+03 3.908841e+03)	(-1.548515e+01 -8.543162e-02 -5.286991e-01)
138           	(-3.796864e+01 1.640838e+03 3.908410e+03)	(-2.249453e+01 1.640922e+03 3.908941e+03)	(-1.547411e+01 -8.341867e-02 -5.312003e-01)
139           	(-3.792906e+01 1.640869e+03 3.908656e+03)	(-2.246652e+01 1.640950e+03 3.909189e+03)	(-1.546255e+01 -8.127894e-02 -5.338139e-01)
140           	(-3.796359e+01 1.641291e+03 3.909276e+03)	(-2.251304e+01 1.641369e+03 3.909812e+03)	(-1.545055e+01 -7.893508e-02 -5.366084e-01)
141           	(-3.775880e+01 1.639769e+03 3.905049e+03)	(-2.231649e+01 1.639846e+03 3.905587e+03)	(-1.544231e+01 -7.660678e-02 -5.387291e-01)
142           	(-3.777057e+01 1.639745e+03 3.905270e+03)	(-2.233776e+01 1.639819e+03 3.905812e+03)	(-1.543281e+01 -7.437648e-02 -5.414321e-01)
143           	(-3.773726e+01 1.639747e+03 3.905430e+03)	(-2.231475e+01 1.639819e+03 3.905975e+03)	(-1.542250e+01 -7.211066e-02 -5.443950e-01)
144           	(-3.770316e+01 1.639801e+03 3.905600e+03)	(-2.229206e+01 1.639870e+03 3.906147e+03)	(-1.541110e+01 -6.977861e-02 -5.476660e-01)
145           	(-3.761221e+01 1.639730e+03 3.905703e+03)	(-2.221331e+01 1.639798e+03 3.906254e+03)	(-1.539890e+01 -6.735388e-02 -5.511136e-01)
146           	(-3.728651e+01 1.638419e+03 3.904764e+03)	(-2.189856e+01 1.638485e+03 3.905318e+03)	(-1.538795e+01 -6.588586e-02 -5.534531e-01)
147           	(-3.723679e+01 1.638616e+03 3.904638e+03)	(-2.186161e+01 1.638681e+03 3.905194e+03)	(-1.537518e+01 -6.409138e-02 -5.564041e-01)
148           	(-3.714277e+01 1.638900e+03 3.905524e+03)	(-2.178145e+01 1.638962e+03 3.906084e+03)	(-1.536133e+01 -6.228669e-02 -5.594478e-01)
149           	(-3.715666e+01 1.639288e+03 3.906456e+03)	(-2.181029e+01 1.639349e+03 3.907019e+03)	(-1.534637e+01 -6.040180e-02 -5.625705e-01)
150           	(-3.704046e+01 1.639848e+03 3.908171e+03)	(-2.171019e+01 1.639906e+03 3.908737e+03)	(-1.533028e+01 -5.845180e-02 -5.656058e-01)
151           	(-3.691322e+01 1.640165e+03 3.909730e+03)	(-2.159701e+01 1.640221e+03 3.910298e+03)	(-1.531622e+01 -5.596316e-02 -5.677131e-01)
152           	(-3.678601e+01 1.639659e+03 3.908606e+03)	(-2.148459e+01 1.639712e+03 3.909176e+03)	(-1.530143e+01 -5.374053e-02 -5.702236e-01)
153           	(-3.673821e+01 1.639317e+03 3.907966e+03)	(-2.145202e+01 1.639368e+03 3.908539e+03)	(-1.528619e+01 -5.146441e-02 -5.728600e-01)
154           	(-3.651583e+01 1.638117e+03 3.905421e+03)	(-2.124423e+01 1.638166e+03 3.905997e+03)	(-1.527160e+01 -4.911468e-02 -5.755441e-01)
155           	(-3.657439e+01 1.638381e+03 3.906098e+03)	(-2.131759e+01 1.638427e+03 3.906676e+03)	(-1.525680e+01 -4.680975e-02 -5.782162e-01)
156           	(-3.648836e+01 1.638139e+03 3.905883e+03)	(-2.124720e+01 1.638183e+03 3.906464e+03)	(-1.524116e+01 -4.440404e-02 -5.809341e-01)
157           	(-3.667158e+01 1.637652e+03 3.902999e+03)	(-2.144045e+01 1.637694e+03 3.903582e+03)	(-1.523112e+01 -4.190792e-02 -5.829198e-01)
158           	(-3.681862e+01 1.638478e+03 3.903905e+03)	(-2.159683e+01 1.638517e+03 3.904490e+03)	(-1.522179e+01 -3.963721e-02 -5.848502e-01)
159           	(-3.651271e+01 1.636599e+03 3.902537e+03)	(-2.129995e+01 1.636637e+03 3.903124e+03)	(-1.521276e+01 -3.773187e-02 -5.865363e-01)
